iteration,epoch,train_loss,valid_loss,accuracy,norm_ED,best_accuracy,best_norm_ED,elapsed_time,learning_rate
100,0,4.03719,3.05939,0.007,0.2819,-1.000,-1.0000,46.95,0.001000
200,0,1.94411,2.85916,0.197,0.3994,0.007,0.2819,372.13,0.001000
300,0,1.24400,0.89298,13.252,0.7547,0.197,0.3994,691.22,0.001000
400,0,0.76492,0.64439,32.095,0.8375,13.252,0.7547,1010.98,0.001000
500,0,0.60573,1.02825,16.254,0.7435,32.095,0.8375,1333.86,0.001000
600,0,0.54451,0.42622,48.357,0.8901,32.095,0.8375,1651.13,0.001000
700,0,0.39575,0.92691,15.299,0.7538,48.357,0.8901,1969.48,0.001000
800,0,0.57004,0.41451,49.536,0.8964,48.357,0.8901,2287.94,0.001000
900,0,0.36255,0.40511,47.828,0.8916,49.536,0.8964,2606.87,0.001000
1000,1,0.36335,0.44302,45.365,0.8901,49.536,0.8964,2923.45,0.001000
1100,1,0.37484,0.33387,55.215,0.9113,49.536,0.8964,3240.74,0.001000
1200,1,0.28757,0.28681,62.253,0.9272,55.215,0.9113,3558.69,0.001000
1300,1,0.32363,0.25866,65.052,0.9354,62.253,0.9272,3880.31,0.001000
1400,1,0.29015,0.28179,60.718,0.9276,65.052,0.9354,4201.32,0.001000
1500,1,0.25555,0.28272,63.351,0.9273,65.052,0.9354,4518.69,0.001000
1600,1,0.25805,0.38540,51.887,0.8999,65.052,0.9354,4835.28,0.001000
1700,1,0.25712,0.27205,64.875,0.9322,65.052,0.9354,5151.21,0.001000
1800,1,0.25921,0.29898,60.345,0.9234,65.052,0.9354,5465.80,0.001000
1900,1,0.25137,0.27969,63.144,0.9292,65.052,0.9354,5784.74,0.001000
2000,2,0.24043,0.26618,65.112,0.9328,65.052,0.9354,6104.80,0.001000
2100,2,0.22873,0.22819,70.382,0.9424,65.112,0.9354,6423.72,0.001000
2200,2,0.20524,0.21398,69.551,0.9452,70.382,0.9424,6743.46,0.001000
2300,2,0.20278,0.20569,72.198,0.9469,70.382,0.9452,7062.69,0.001000
2400,2,0.19135,0.22422,67.922,0.9410,72.198,0.9469,7382.11,0.001000
2500,2,0.18701,0.17661,74.614,0.9539,72.198,0.9469,7700.33,0.001000
2600,2,0.21083,0.20013,72.211,0.9481,74.614,0.9539,8019.46,0.001000
2700,2,0.20864,0.22519,68.799,0.9417,74.614,0.9539,8335.64,0.001000
2800,2,0.18621,0.18672,73.448,0.9516,74.614,0.9539,8652.08,0.001000
2900,2,0.15816,0.21707,69.836,0.9430,74.614,0.9539,8968.57,0.001000
3000,3,0.27725,0.23763,68.393,0.9392,74.614,0.9539,9285.06,0.001000
3100,3,0.22874,0.22327,69.927,0.9435,74.614,0.9539,9601.49,0.001000
3200,3,0.18876,0.19503,72.845,0.9488,74.614,0.9539,9922.37,0.001000
3300,3,0.16910,0.19606,71.862,0.9485,74.614,0.9539,10239.97,0.001000
3400,3,0.18023,0.16737,75.932,0.9569,74.614,0.9539,10558.56,0.001000
3500,3,0.17364,0.17999,75.000,0.9537,75.932,0.9569,10876.18,0.001000
3600,3,0.14769,0.17202,75.823,0.9554,75.932,0.9569,11190.92,0.001000
3700,3,0.15041,0.20264,71.883,0.9470,75.932,0.9569,11509.94,0.001000
3800,3,0.15937,0.18542,74.895,0.9558,75.932,0.9569,11830.11,0.001000
3900,3,0.17558,0.18206,75.895,0.9541,75.932,0.9569,12148.66,0.001000
4000,4,0.16389,0.18391,75.393,0.9543,75.932,0.9569,12463.48,0.001000
4100,4,0.14233,0.19773,72.255,0.9505,75.932,0.9569,12781.80,0.001000
4200,4,0.15414,0.18252,75.335,0.9530,75.932,0.9569,13100.75,0.001000
4300,4,0.19706,0.18935,73.553,0.9514,75.932,0.9569,13417.10,0.001000
4400,4,0.14130,0.15086,77.806,0.9615,75.932,0.9569,13731.05,0.001000
4500,4,0.13625,0.15492,78.981,0.9604,77.806,0.9615,14049.82,0.001000
4600,4,0.18529,0.20712,71.303,0.9475,78.981,0.9615,14367.28,0.001000
4700,4,0.14966,0.15513,78.114,0.9608,78.981,0.9615,14686.13,0.001000
4800,4,0.16667,0.18865,74.014,0.9514,78.981,0.9615,15001.35,0.001000
4900,4,0.15278,0.16293,77.934,0.9595,78.981,0.9615,15320.78,0.001000
5000,5,0.12528,0.13182,82.082,0.9681,78.981,0.9615,15641.21,0.001000
5100,5,0.14659,0.13723,80.367,0.9657,82.082,0.9681,15960.74,0.001000
5200,5,0.13994,0.15303,77.284,0.9608,82.082,0.9681,16280.86,0.001000
5300,5,0.15282,0.16804,76.291,0.9564,82.082,0.9681,16601.81,0.001000
5400,5,0.21165,0.23578,69.484,0.9400,82.082,0.9681,16921.97,0.001000
5500,5,0.22193,0.20764,70.758,0.9474,82.082,0.9681,17243.54,0.001000
