iteration,epoch,train_loss,valid_loss,accuracy,norm_ED,best_accuracy,best_norm_ED,elapsed_time,learning_rate
100,0,3.90720,3.04016,3.596,0.3813,-1.000,-1.0000,46.22,0.001000
200,0,1.73539,1.41887,19.606,0.6548,3.596,0.3813,90.06,0.001000
300,0,1.01698,0.83582,33.305,0.7999,19.606,0.6548,131.82,0.001000
400,0,0.60995,0.62677,38.099,0.8450,33.305,0.7999,174.29,0.001000
500,0,0.48306,0.48025,51.455,0.8875,38.099,0.8450,216.46,0.001000
600,0,0.34905,0.44098,53.767,0.9005,51.455,0.8875,258.61,0.001000
700,0,0.30524,0.42109,52.140,0.8974,53.767,0.9005,300.92,0.001000
800,0,0.25873,0.40222,52.140,0.9062,53.767,0.9005,342.78,0.001000
900,0,0.18127,0.36086,60.274,0.9224,53.767,0.9062,384.63,0.001000
1000,1,0.26630,0.36335,60.788,0.9282,60.274,0.9224,426.65,0.001000
1100,1,0.19900,0.36123,56.164,0.9191,60.788,0.9282,468.64,0.001000
1200,1,0.18164,0.32793,63.185,0.9344,60.788,0.9282,510.66,0.001000
1300,1,0.15738,0.28242,65.753,0.9456,63.185,0.9344,552.97,0.001000
1400,1,0.13418,0.31166,63.784,0.9362,65.753,0.9456,595.12,0.001000
1500,1,0.13973,0.28925,64.384,0.9423,65.753,0.9456,636.87,0.001000
1600,1,0.15690,0.33164,61.045,0.9293,65.753,0.9456,678.53,0.001000
1700,1,0.12753,0.31519,64.555,0.9369,65.753,0.9456,719.98,0.001000
1800,1,0.17571,0.35076,60.017,0.9273,65.753,0.9456,761.66,0.001000
1900,1,0.14604,0.33519,58.562,0.9323,65.753,0.9456,802.75,0.001000
2000,2,0.10402,0.27871,68.065,0.9463,65.753,0.9456,844.88,0.001000
2100,2,0.08226,0.28049,72.774,0.9534,68.065,0.9463,887.39,0.001000
2200,2,0.05705,0.28344,69.863,0.9500,72.774,0.9534,929.74,0.001000
2300,2,0.05806,0.27883,72.432,0.9517,72.774,0.9534,971.20,0.001000
2400,2,0.06107,0.28959,71.490,0.9537,72.774,0.9534,1012.82,0.001000
2500,2,0.05812,0.29768,70.719,0.9487,72.774,0.9537,1054.80,0.001000
2600,2,0.06740,0.26454,73.545,0.9571,72.774,0.9537,1096.33,0.001000
2700,2,0.09399,0.34223,63.527,0.9383,73.545,0.9571,1138.33,0.001000
2800,2,0.07681,0.28479,70.462,0.9516,73.545,0.9571,1180.26,0.001000
2900,2,0.08157,0.33294,66.866,0.9457,73.545,0.9571,1221.89,0.001000
3000,3,0.05803,0.28673,72.860,0.9546,73.545,0.9571,1263.28,0.001000
3100,3,0.03704,0.33378,68.322,0.9498,73.545,0.9571,1305.08,0.001000
3200,3,0.05252,0.27084,74.658,0.9584,73.545,0.9571,1346.80,0.001000
3300,3,0.03851,0.27394,72.860,0.9567,74.658,0.9584,1389.13,0.001000
3400,3,0.03723,0.28746,72.945,0.9581,74.658,0.9584,1430.97,0.001000
3500,3,0.03690,0.29399,73.288,0.9583,74.658,0.9584,1472.56,0.001000
3600,3,0.02742,0.29247,74.829,0.9603,74.658,0.9584,1514.03,0.001000
3700,3,0.03280,0.29269,72.260,0.9571,74.829,0.9603,1556.60,0.001000
3800,3,0.02940,0.27842,76.541,0.9619,74.829,0.9603,1597.80,0.001000
3900,3,0.02521,0.31699,70.548,0.9552,76.541,0.9619,1640.44,0.001000
4000,4,0.04580,0.35548,67.123,0.9451,76.541,0.9619,1682.20,0.001000
4100,4,0.12128,0.47686,50.942,0.9121,76.541,0.9619,1723.59,0.001000
4200,4,0.15409,0.40257,56.592,0.9255,76.541,0.9619,1765.31,0.001000
4300,4,0.13482,0.43177,57.021,0.9252,76.541,0.9619,1806.86,0.001000
4400,4,0.16651,0.40484,59.418,0.9256,76.541,0.9619,1848.37,0.001000
4500,4,0.12727,0.33484,66.866,0.9428,76.541,0.9619,1890.09,0.001000
4600,4,0.08081,0.31933,69.777,0.9506,76.541,0.9619,1931.34,0.001000
4700,4,0.07010,0.26950,74.401,0.9593,76.541,0.9619,1973.19,0.001000
4800,4,0.04834,0.30879,71.661,0.9516,76.541,0.9619,2014.95,0.001000
4900,4,0.04145,0.28353,75.685,0.9611,76.541,0.9619,2056.30,0.001000
5000,5,0.01796,0.29198,75.856,0.9604,76.541,0.9619,2098.19,0.001000
5100,5,0.03411,0.30372,73.459,0.9555,76.541,0.9619,2140.12,0.001000
5200,5,0.02139,0.30736,76.113,0.9588,76.541,0.9619,2181.26,0.001000
5300,5,0.06752,0.33228,69.949,0.9524,76.541,0.9619,2223.27,0.001000
5400,5,0.04456,0.29009,74.401,0.9585,76.541,0.9619,2264.62,0.001000
5500,5,0.02679,0.30002,73.373,0.9571,76.541,0.9619,2306.57,0.001000
5600,5,0.03712,0.31500,72.517,0.9549,76.541,0.9619,2348.25,0.001000
5700,5,0.06390,0.42163,61.473,0.9362,76.541,0.9619,2389.67,0.001000
5800,5,0.17257,0.36583,67.466,0.9452,76.541,0.9619,2431.65,0.001000
5900,5,0.12358,0.46299,57.534,0.9230,76.541,0.9619,2473.60,0.001000
6000,6,0.14279,0.34549,67.466,0.9441,76.541,0.9619,2515.14,0.001000
6100,6,0.06990,0.33912,70.120,0.9494,76.541,0.9619,2556.92,0.001000
6200,6,0.04917,0.30569,74.572,0.9590,76.541,0.9619,2597.99,0.001000
6300,6,0.02264,0.28865,76.541,0.9612,76.541,0.9619,2640.06,0.001000
6400,6,0.02342,0.30078,76.884,0.9604,76.541,0.9619,2681.96,0.001000
6500,6,0.01591,0.30827,75.599,0.9610,76.884,0.9619,2723.62,0.001000
6600,6,0.01119,0.29067,78.168,0.9635,76.884,0.9619,2765.60,0.001000
6700,6,0.00842,0.28616,78.082,0.9637,78.168,0.9635,2808.05,0.001000
6800,6,0.00913,0.28198,78.938,0.9643,78.168,0.9637,2849.73,0.001000
6900,6,0.00648,0.28346,79.195,0.9649,78.938,0.9643,2892.40,0.001000
7000,7,0.00499,0.28931,79.024,0.9648,79.195,0.9649,2934.57,0.001000
7100,7,0.00628,0.29338,79.195,0.9655,79.195,0.9649,2976.16,0.001000
7200,7,0.03100,0.36032,71.233,0.9505,79.195,0.9655,3018.33,0.001000
7300,7,0.05525,0.38491,65.753,0.9432,79.195,0.9655,3059.31,0.001000
7400,7,0.16584,0.70469,39.127,0.8679,79.195,0.9655,3101.23,0.001000
7500,7,0.21445,0.43572,57.962,0.9229,79.195,0.9655,3143.07,0.001000
7600,7,0.14694,0.39122,63.870,0.9390,79.195,0.9655,3184.57,0.001000
7700,7,0.06750,0.31978,71.747,0.9556,79.195,0.9655,3226.12,0.001000
7800,7,0.04813,0.31912,74.058,0.9565,79.195,0.9655,3267.78,0.001000
7900,7,0.04268,0.31083,72.432,0.9534,79.195,0.9655,3309.25,0.001000
8000,8,0.04198,0.32742,73.116,0.9557,79.195,0.9655,3351.12,0.001000
8100,8,0.02248,0.32969,73.373,0.9575,79.195,0.9655,3392.48,0.001000
8200,8,0.01957,0.30867,77.312,0.9621,79.195,0.9655,3434.32,0.001000
8300,8,0.01561,0.31788,77.740,0.9604,79.195,0.9655,3475.87,0.001000
8400,8,0.01032,0.28494,78.082,0.9644,79.195,0.9655,3517.18,0.001000
8500,8,0.00768,0.29942,78.425,0.9634,79.195,0.9655,3559.12,0.001000
8600,8,0.00686,0.30355,75.599,0.9611,79.195,0.9655,3600.70,0.001000
8700,8,0.01132,0.30560,77.825,0.9631,79.195,0.9655,3641.99,0.001000
8800,8,0.00708,0.31332,78.425,0.9642,79.195,0.9655,3683.95,0.001000
8900,8,0.00518,0.32258,78.425,0.9645,79.195,0.9655,3725.14,0.001000
9000,9,0.01410,0.33238,73.887,0.9585,79.195,0.9655,3767.12,0.001000
9100,9,0.01289,0.32632,76.199,0.9618,79.195,0.9655,3808.96,0.001000
9200,9,0.01635,0.33357,72.688,0.9571,79.195,0.9655,3850.96,0.001000
9300,9,0.03650,0.35432,73.801,0.9560,79.195,0.9655,3893.11,0.001000
9400,9,0.13386,0.45949,61.986,0.9366,79.195,0.9655,3936.26,0.001000
9500,9,0.09573,0.38832,66.267,0.9458,79.195,0.9655,3977.85,0.001000
9600,9,0.06398,0.38811,69.178,0.9492,79.195,0.9655,4019.61,0.001000
9700,9,0.05928,0.37498,72.003,0.9513,79.195,0.9655,4061.42,0.001000
9800,9,0.03030,0.34753,74.658,0.9575,79.195,0.9655,4103.04,0.001000
9900,9,0.02018,0.33457,73.716,0.9567,79.195,0.9655,4145.08,0.001000
10000,10,0.02410,0.34581,74.315,0.9589,79.195,0.9655,4186.69,0.001000
